Tuning Paramter,Distance Threshold,Ayalon Only,Network Length,Covered Network Length,Estimated Price,No. of Polygons
5000,0,No,2512.91,2422.19,6261.1270695584,3028
5000,0,Yes,90.12,88.43,228.58300412480008,308
5000,2500,No,2497.3500000000004,2406.7200000000003,6221.1386145792,2882
5000,2500,Yes,90.12,88.43,228.58300412480008,308
5000,5000,No,2462.55,2363.85,6110.323807536,2878
5000,5000,Yes,90.12,88.43,228.58300412480008,308
5000,10000,No,2451.76,2356.9300000000003,6092.436276284801,2873
5000,10000,Yes,90.12,88.43,228.58300412480008,308
5000,25000,No,2440.46,2345.47,6062.8132837792,2864
5000,25000,Yes,90.46,88.77,229.4618712672,308
5000,50000,No,2433.82,2334.81,6035.258213961601,2867
5000,50000,Yes,90.31,88.62,229.0741357632,308
10000,0,No,1973.87,1899.55,4910.153177488,1876
10000,0,Yes,81.44,79.75,206.14604296,220
10000,2500,No,1932.21,1880.2,4860.135297472,1721
10000,2500,Yes,82.38,80.69,208.5758521184,220
10000,5000,No,1890.39,1844.7,4768.371228192,1697
10000,5000,Yes,82.79,81.1,209.635662496,220
10000,10000,No,1888.15,1838.45,4752.215582192,1690
10000,10000,Yes,79.1,77.58,200.5368026688,220
10000,25000,No,1819.64,1778.2800000000002,4596.681947020801,1689
10000,25000,Yes,79.89,78.2,202.139442752,220
10000,50000,No,1833.74,1791.45,4630.725124272,1685
10000,50000,Yes,80.25,78.74,203.5352905664,220
25000,0,No,1195.9,1172.0,3029.50673792,926
25000,0,Yes,55.94,55.63,143.7981739168,100
25000,2500,No,1114.55,1095.6,2832.020121216,798
25000,2500,Yes,61.11,59.85,154.706466096,100
25000,5000,No,1075.59,1054.43,2725.5996498848003,744
25000,5000,Yes,60.67,59.15,152.897033744,100
25000,10000,No,1043.9,1028.59,2658.8057470624003,719
25000,10000,Yes,54.54,53.94,139.4296872384,100
25000,25000,No,1060.66,1048.34,2709.8575884224,703
25000,25000,Yes,58.67,58.35,150.82911105600002,100
25000,50000,No,995.5,986.44,2549.8520704384005,697
25000,50000,Yes,56.74,55.22,142.7383635392,100
50000,0,No,763.64,749.53,1937.4626154208,613
50000,0,Yes,36.4,35.83,92.6170873888,50
50000,2500,No,727.25,718.21,1856.5034421856,523
50000,2500,Yes,41.11,39.6,102.36217305600002,50
50000,5000,No,654.16,647.79,1674.4745475743998,436
50000,5000,Yes,38.17,37.61,97.2182153696,50
50000,10000,No,616.71,609.6,1575.757088256,401
50000,10000,Yes,45.16,43.9,113.477257504,50
50000,25000,No,626.64,617.15,1595.273108624,370
50000,25000,Yes,34.92,33.41,86.36162125759999,50
50000,50000,No,569.2,565.0999999999999,1460.7288887359998,359
50000,50000,Yes,35.33,34.76,89.8512407936,50
100000,0,No,550.14,533.44,1378.8908483584005,467
100000,0,Yes,20.76,20.76,53.66259375360001,24
100000,2500,No,493.74,485.47,1254.8930341792002,392
100000,2500,Yes,18.57,18.25,47.17448632000001,24
100000,5000,No,446.24,438.85,1134.384839536,326
100000,5000,Yes,18.92,18.36,47.4588256896,24
100000,10000,No,358.5,353.86,914.6939029696,217
100000,10000,Yes,18.11,17.79,45.9854307744,24
100000,25000,No,334.58000000000004,330.86,855.2411256896,192
100000,25000,Yes,21.82,21.51,55.601271273600005,24
100000,50000,No,291.83,288.8,746.5200903680001,177
100000,50000,Yes,15.3,14.99,38.7477013664,24
500000,0,No,372.1,359.73,929.8672856928,377
500000,0,Yes,3.95,3.95,10.210368272,8
500000,2500,No,355.26,345.13,892.1276966368,364
500000,2500,Yes,3.95,3.95,10.210368272,8
500000,5000,No,326.3,313.92,811.4528627712,338
500000,5000,Yes,2.44,2.44,6.3071641984,6
500000,10000,No,264.4,256.43,662.8467686048,278
500000,10000,Yes,2.44,2.44,6.3071641984,6
500000,25000,No,171.32,163.55,422.760944528,164
500000,25000,Yes,0.97,0.97,2.5073562592000003,2
500000,50000,No,91.9,90.56,234.0888482816,54
500000,50000,Yes,0.97,0.97,2.5073562592000003,2
1000000,0,No,353.86,341.49,882.7186484064,373
1000000,0,Yes,3.95,3.95,10.210368272,8
1000000,2500,No,357.20000000000005,344.82,891.3263765952,370
1000000,2500,Yes,3.95,3.95,10.210368272,8
1000000,5000,No,344.84000000000003,332.46000000000004,859.3769710656002,351
1000000,5000,Yes,2.44,2.44,6.3071641984,6
1000000,10000,No,289.46000000000004,277.54,717.4140785344001,317
1000000,10000,Yes,2.44,2.44,6.3071641984,6
1000000,25000,No,218.13,209.05,540.374047408,234
1000000,25000,Yes,0.97,0.97,2.5073562592000003,2
1000000,50000,No,72.41,71.05,183.657383728,45
1000000,50000,Yes,0.97,0.97,2.5073562592000003,2
